field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
186,신트리,서울,양천구,서울 양천구 신정동 1267 목동뉴프라자,정,서울특별시 양천구 신정동 1267,126.85555237268251,37.51322835143992
195,신풍역,서울,영등포구,서울 영등포구 신길동 445-2,정,서울특별시 영등포구 신길동 445-2,126.90806569112209,37.49885948554471
202,신용산역,서울,용산구,서울 용산구 한강로2가 122-5,정,서울특별시 용산구 한강로2가 122-5,126.97010959441765,37.53042206634478
196,여의도,서울,영등포구,서울 영등포구 여의도동 44-31,정,서울특별시 영등포구 여의도동 44-31,126.93029675244644,37.519779070211584
200,보광,서울,용산구,서울 용산구 보광동 217-13,정,서울특별시 용산구 보광동 217-13,126.99869458292582,37.52619723365392
206,구산역,서울,은평구,서울 은평구 갈현동 464-14,정,서울특별시 은평구 갈현동 464-14,126.91725113801746,37.612875779895816
198,영등포역,서울,영등포구,서울 영등포구 영등포동3가 21-10,정,서울특별시 영등포구 영등포동3가 21-10,126.90771018676375,37.517741893042896
199,동부이촌,서울,용산구,서울 용산구 이촌1동 301-153 오성상가 103,정,서울특별시 용산구 이촌동 301-153,126.9745869357738,37.52075610866335
207,녹번,서울,은평구,서울 은평구 녹번동 82-47,정,서울특별시 은평구 녹번동 82-47,126.92578216555697,37.603472074560464
218,숭인,서울,종로구,서울 종로구 숭인2동 183-13,정,서울특별시 종로구 숭인동 183-13,127.02006982835825,37.57460786147231
220,종로1호,서울,종로구,서울 종로구 관철동 13-13,정,서울특별시 종로구 관철동 13-13,126.98604395939306,37.569384174999605
204,한남,서울,용산구,서울 용산구 한남동 828,정,서울특별시 용산구 한남동 828,127.0072316027915,37.532430929337025
201,숙대,서울,용산구,서울 용산구 청파동2가 90-11,정,서울특별시 용산구 청파동2가 90-11,126.96965483139033,37.545005014573704
208,대조,서울특별시,은평구,서울특별시 은평구 대조동 231,정,서울특별시 은평구 대조동 231,126.9217694266498,37.60902944140854
210,신사1동,서울,은평구,서울 은평구 신사동 29-13,정,서울특별시 은평구 신사동 29-13,126.91058020822763,37.59774263387143
212,연신내,서울,은평구,서울 은평구 불광동 484-72,정,서울특별시 은평구 불광동 484-72,126.92048759349177,37.620477921720365
